‏John 
1:48	וַיֹּאמֶר אֵלָיו נְתַנְאֵל אֵי מִזֶּה יְדַעְתַּנִי וַיַּעַן יֵשׁוּעַ וַיֹּאמֶר אֵלָיו טֶרֶם יִקְרָא אֵלֶיךְ פִלָּפּוֹס בִּהְיוֹתָךְ תַחַת הַתְּאֵנָה רָאִיתִיךְ. 
1:49	וַיַּעַן נְתַנְאֵל וַיֹּאמֶר אֵלָיו רַבִּי בֶן־־אֱלֹהִים אַתָּה מֶלֶךְ יִשְׂרָאֵל אָתָּה. 
1:50	וַיַּעַן יֵשׁוּעַ וַיֹּאמֶר אֵלָיו הַאִם הֶאֱמַנְתָּ עַל־כִּי אָמַרְתִּי אֵלֶיךְ כִּי רָאִיתִיךְ תַחַת הַתְּאֵנָה גְדוֹלוֹת מֵאֵלֶּה תִרְאֶה. 
1:51	וַיֹּאמֶר אֵלָיו אָמְנָם אָמְנָם אֲנִי אֹמַר לָכֶם מֵעַתָּה תִרְאוּ אֶת־־הַשָּׁמַיִם פְּתוּחִים וּמַלְאֲכֵי אֱלֹהִים עֹלִים וְיִרְדִים עַל בֶּן־אָדָם. 
2:1	וַתְּהִי חֶתְנָּה בַיּוֹם הַשְׁלִישִׁי בְקָנָה אֲשֶׁר לְנָלִיל וַתְּהִי שָׁם אֵם יֵשׁוּעַ. 
2:2	וַיִּקְרְאוּ גַם יֵשׁוּעַ וְתַלְמִידָיו אֶל הַחֲתְנָּה. 
2:3	וַיָּחְמֹר יַיִן וַתֹּאמֶר אֵלָיו אֵם יֵשׁוּעַ יַיִן אֵין לָהֶם. 
2:4	וַיֹּאמֶר אֵלֶיהָ יֵשׁוּעַ מַה־לִי וְלָךְ אִשָּׁה עֹדֶנָּה לֹא בָאָה עִתִּי. 
2:5	וַתּאֹמֶר אִמּוֹ אֶל הַמְּשָׁרְתִים אֵת אֲשֶׁר־יֹאמַר אֲלֵיכֶם עֲשׂוּ. 
2:6	וַיִּהְיוּ שָׁם שִׁשָּׁה כַרִים אֶבֶן מוּשָׂמִים כְּרֶרֶךְ טָהֳרַת הַיְהוּדִים אֶחָד אֶל אֶחָד הָבִיל בְּמָאתַיִם אוֹ שְׁלֹשׁ סָאִים. 
2:7	וַיֹּאמֶר אֲלֵיהֶם יֵשׁוּעַ מִלְאוּ אֶת־הַכַּדִּים מַיִם וַיְמַלְאוּם עַד לְמַעֲלָה. 
2:8	וַיֹּאמֶר אֲלֵיהֶם שַׁאֲבוּ עַתָּה וּשְׂאוּ אֶל רֹאשׁ הַמִּסְבָּה וַיִּשָּׂאוּ. 
2:9	וַיִּטְעס ראשׁ הַמִּסְבָּה אֶת־ הַמַּיִם אֲשֶׁר הָיוּ לְיַיִן וְלֹא יָדַע מֵאַיִן הוּא וְהַמָּשָׁרְתִים אֲשֶׁר שָׁאֲבוּ אֶת־הַמַּיִם יָדְעוּ וַיִּקְרָא רֹאשׁ הַמִּסְבָּה אֶל הַחָתָן. 
2:10	וַיֹּאמֶר אֵלָיו כָל־אִישׁ יָשִׂים אֶת־־הַײַן הַטוֹב בָּרָאשֹׁנָה וְכַאֲשֶׁר יִשְׁכְּרוּ אָז יָשִׂים אֶת־הָרָע וְאַתָּה שָׁמַרְתָּ אֶת־הַיַיִן הַטוֹב עַד עֶתָּה. 
2:11	אֶת־זאת רֵאשִׁית הָאֹתוֹת עָשָׂה יֵשׁוּעַ בְּקָנָה אֲשֶׁר לְגָלִיל וַיְנַלֶּה אֶת־כְּבוֹדוֹ וַיַּאֲמִינוּ בוֹ תַלְמִירָיו. 
2:12	וְאַחֲרֵי כֵן יָרַד אֶל כְּפַר נָחוּם הוּא וְאִמּוֹ וְאֶחָיו וְתַלְמִידָיו וְלֹא יָשְׁבוּ שָׁם יָמִים רַבִּים. 
2:13	וַיִּקְרֹב חַג פֶּסַח הַיְהוּדִים וַיַּעַל יֵשׁוּעַ יְרוּשָׁלָמָה. 
2:14	וַיִּמְצָא בָהֵיכָל מֹכְרֵי שְׁוָרִים וּכְבָשִׂים וְיוֹנִים וּמַחֲלִיפֵי כֶסֶף וּשְׁבִים. 
2:15	וַיַּעַשׂ שׁוֹט מֵחֲבָלִים וַיּוֹצִיא כַלָּם מִחוּץ לְהֵיכָל וְאֶת־־הַכְּבָשִׂים וְאֶת־הַשְׁוָרִים וַיִּשְׁפֹּךְ אֶת כֶּסֶף מַחֲלִיפִי־כֶסֶף וַיַּהֲרֹךְ אֶת־הַשָּׁלְחָנוֹת. 
2:16	וַיֹּאמֶר אֶל מֹכְרֵי יוֹנִים שְׂאוּ אֶת־ אֵלֶּה מִזֶּה אַל־תַּעֲשׂוּ אֶת־בֵּית אָבִי לְבֵית־־סְחֹרָה. 
2:17	וַיִזְבְּרוּ תַלְמִידָיו אֶת־הַכָּתוּב קִנְאַת בֵּיתְךָ אֲכָלָתְנִי. 
2:18	וַיַּעֲנוּ הָיְהוּדִים וַיֹּאמְרוּ אֵלָיו מָה הָאוֹת אֲשֶׁר תַּרְאֶה לָנוּ כִי אַתָּה עֹשֶׂה אֶת־אֵלֶּה. 
